iter	Passed	Remaining
0	173	173019
1	176	87847
2	179	59557
3	182	45390
4	185	36893
5	187	31047
6	189	26928
7	191	23750
8	194	21421
9	196	19492
10	199	17967
11	202	16695
12	205	15620
13	208	14691
14	212	13925
15	230	14146
16	233	13481
17	235	12870
18	238	12296
19	240	11790
20	243	11361
21	246	10959
22	249	10589
23	252	10250
24	254	9933
25	259	9705
26	262	9444
27	264	9191
28	267	8943
29	269	8721
30	272	8503
31	273	8281
32	275	8086
33	277	7892
34	279	7714
35	281	7547
36	283	7388
37	286	7241
38	288	7108
39	290	6979
40	293	6862
41	296	6759
42	298	6652
43	301	6545
44	303	6451
45	306	6350
46	307	6238
47	309	6129
48	310	6034
49	313	5956
50	316	5880
51	318	5804
52	321	5741
53	323	5673
54	326	5608
55	329	5548
56	332	5492
57	334	5430
58	336	5363
59	338	5297
60	339	5230
61	341	5173
62	344	5126
63	348	5090
64	351	5049
65	353	5007
66	356	4964
67	359	4925
68	362	4894
69	365	4857
70	368	4819
71	371	4781
72	373	4746
73	376	4712
74	381	4699
75	388	4727
76	396	4754
77	404	4786
78	416	4859
79	425	4887
80	432	4906
81	441	4944
82	446	4931
83	457	4987
84	465	5009
85	473	5033
86	482	5061
87	492	5099
88	501	5132
89	510	5158
90	519	5194
91	528	5216
92	540	5275
93	549	5297
94	564	5378
95	573	5398
96	583	5428
97	598	5505
98	608	5535
99	616	5547
100	629	5600
101	641	5646
102	650	5667
103	663	5715
104	673	5742
105	685	5780
106	694	5796
107	703	5808
108	712	5823
109	727	5884
110	739	5920
111	751	5959
112	764	6004
113	776	6032
114	784	6040
115	795	6059
116	804	6069
117	811	6068
118	827	6125
119	835	6128
120	846	6148
121	855	6155
122	865	6171
123	874	6175
124	884	6188
125	893	6197
126	901	6193
127	910	6199
128	921	6222
129	930	6224
130	938	6222
131	946	6224
132	956	6237
133	965	6237
134	977	6260
135	990	6294
136	1009	6359
137	1028	6423
138	1036	6419
139	1047	6437
140	1058	6451
141	1065	6436
142	1075	6443
143	1087	6466
144	1097	6468
145	1106	6469
